rank,enterprise,revenue,profit,country
138,浙江荣盛控股集团有限公司（ZHEJIANG RONGSHENG HOLDING GROUP),86535.6,74.6,中国
139,美国劳氏公司（LOWE'S),86377,7726,美国
140,乐购（TESCO),86231.3,1486.9,英国
141,腾讯控股有限公司（TENCENT HOLDINGS),86028.3,16275.2,中国
142,厦门国贸控股集团有限公司（XIAMEN ITG HOLDING GROUP),85818.8,178.9,中国
143,比亚迪股份有限公司（BYD),85082,4243.5,中国
144,日本生命保险公司（NIPPON LIFE INSURANCE),83090,2854,日本
145,西门子（SIEMENS),82931.9,8476.7,德国
146,日本邮政控股公司（JAPAN POST HOLDINGS),82905.5,1859.1,日本
147,中国航空工业集团有限公司（AVIATION INDUSTRY CORP. OF CHINA),82654.1,1644.1,中国
148,三菱日联金融集团（MITSUBISHI UFJ FINANCIAL GROUP),82270.3,10314.8,日本
149,宝洁公司（PROCTER & GAMBLE),82006,14653,美国
150,物产中大集团股份有限公司（WUCHAN ZHONGDA GROUP),81952.4,510.9,中国
151,Seven & I 控股公司（SEVEN & I HOLDINGS),80124.6,1568.9,日本
152,艾伯森公司（ALBERTSONS),79237.7,1296,美国
153,引能仕控股株式会社（ENEOS HOLDINGS),79020.5,1993.5,日本
154,交通银行股份有限公司（BANK OF COMMUNICATIONS),78757.1,13098.6,中国
155,Energy Transfer公司（ENERGY TRANSFER),78586,3935,美国
156,美国邮政（U.S. POSTAL SERVICE),78383,-6478,美国
157,江西铜业集团有限公司（JIANGXI COPPER),78243.2,371.2,中国
158,中国人民保险集团股份有限公司（PEOPLE'S INSURANCE CO. OF CHINA),78181.7,3153.2,中国
159,波音（BOEING),77794,-2222,美国
160,中国兵器工业集团有限公司（CHINA NORTH INDUSTRIES GROUP),76506.9,1933,中国
161,太平洋建设集团有限公司（PACIFIC CONSTRUCTION GROUP),76433,5035.3,中国
162,起亚公司（KIA),76419.4,6720.2,韩国
163,西斯科公司（SYSCO),76324.7,1770.1,美国
164,第一生命控股有限公司（DAI-ICHI LIFE HOLDINGS),76304.8,2219.4,日本
165,印尼国家石油公司（PERTAMINA),75787.8,4441.4,印度尼西亚
166,万喜集团（VINCI),75550.9,5083.1,法国
167,马来西亚国家石油公司（PETRONAS),75409.6,16320.1,马来西亚
168,多伦多道明银行（TORONTO-DOMINION BANK),75063.3,7995.6,加拿大
169,卢克石油公司（LUKOIL),75012.8,13551.9,俄罗斯
170,陕西煤业化工集团有限责任公司（SHAANXI COAL & CHEMICAL INDUSTRY),74776.7,1113.7,中国
171,盛虹控股集团有限公司（SHENGHONG HOLDING GROUP),74700.8,548.5,中国
172,巴斯夫公司（BASF),74487.2,243.2,德国
173,中国保利集团有限公司（CHINA POLY GROUP),73998.5,988.2,中国
174,法国BPCE银行集团（GROUPE BPCE),73774.7,3031.3,法国
175,山东魏桥创业集团有限公司（SHANDONG WEIQIAO PIONEERING GROUP),73484.5,1192.3,中国
176,巴西JBS公司（JBS),72863.2,-212.5,巴西
177,Alimentation Couche-Tard公司（ALIMENTATION COUCHE-TARD),71856.7,3090.9,加拿大
178,印度国家银行（STATE BANK OF INDIA),71844,8106,印度
179,招商银行股份有限公司（CHINA MERCHANTS BANK),71514.6,20708.7,中国
